,Benchmark,TCL,E2E,Online E2E,E2E ECL
0,2390.0700860442093,2332.434954504856,2377.7598931340567,2320.3531208307604,2319.0340053341934
1,2395.111153427457,2334.095535816928,2381.289610573156,2322.544250752534,2320.668412554596
2,2388.836821863903,2330.271765996208,2375.5822762751354,2317.540460321841,2315.706732456689
3,2381.2857284352053,2323.812669603036,2368.6754955784545,2314.320890172849,2312.490106418101
4,2390.6149803882927,2330.7125782058997,2377.1442571763087,2320.3654830030146,2318.389388955608
