,Benchmark,TCL,E2E,Online E2E,E2E ECL
0,2390.0700860442093,2332.434954504856,2418.4505590555245,2320.3531208307604,2325.384839367131
1,2395.111153427457,2334.095535816928,2423.8345448901764,2322.544250752534,2327.5414132959413
2,2388.836821863903,2330.271765996208,2416.6801296871977,2317.540460321841,2321.990232595708
3,2381.2857284352053,2323.812669603036,2408.312678778567,2314.320890172849,2318.809620232649
4,2390.6149803882927,2330.7125782058997,2418.570860680858,2320.3654830030146,2325.381496886974
