,Benchmark,TCL,E2E,Online E2E,E2E ECL
0,3098.9797265974103,3149.683124414637,3039.461738818591,3037.70294690986,3009.984656969422
1,3113.4566659286397,3159.204664254121,3062.8206973356337,3061.0149625512195,3037.628371916049
2,3092.863201932761,3142.807933925985,3038.444801877856,3036.6473361789767,3010.397310356096
3,3075.32610110954,3126.702279048754,3020.162752679323,3017.633180498077,2991.6767990136286
4,3093.319732421904,3143.194943702749,3040.619125093562,3036.658459254817,3012.310209562785
