,Benchmark,TCL,E2E,Online E2E,E2E ECL
0,3098.9797265974103,3149.683124414637,3153.3244145021986,3037.70294690986,3058.088649943986
1,3113.4566659286397,3159.204664254121,3164.7947434684866,3061.0149625512195,3081.102705481572
2,3092.863201932761,3142.807933925985,3145.8415817082746,3036.6473361789767,3057.0287935797114
3,3075.32610110954,3126.702279048754,3126.471533196682,3017.633180498077,3037.880837645564
4,3093.319732421904,3143.194943702749,3143.8163964395685,3036.658459254817,3055.6803367614866
