,Original,TCL,E2E,E2E+ECL,ECL
Load,-57.58361132338183,-47.7252968121389,-74.48540418281515,37.00285367627417,45.044093834514776
PV,-36.6973108520494,-30.92779013021507,-10.488712641014363,-137.51608017531956,-144.7288017241985
