,Original,TCL,E2E,E2E+ECL,ECL
Load,-57.58361132338183,-47.7252968121389,-3.744458612496243,-78.4006808600992,-83.31358215054158
PV,-36.6973108520494,-30.92779013021507,-108.44798109140194,0.8161439137062445,9.229842352316467
