,Cost
Ideal,1890.7118979026368
Deterministic,2298.292999956266
Original,2144.0573165425058
TCL,2143.533632937064
E2E,2133.9168447646784
ECL,2122.5669209962134
E2E_ECL,2117.7257203443496
