,Original,TCL,E2E,E2E+ECL,ECL
PV,-127.58924245046427,-72.69238880397043,-141.35072093506955,-77.14513955783855,-69.83904497958278
Load,31.1854725466719,22.510335662620193,62.57668897471718,-28.96998596555091,-37.147394177304975
