,Original,TCL,E2E,E2E+ECL,ECL
PV,-127.58924245046427,-72.69238880397043,-127.09549942258663,-139.23508161021766,-139.49038175323986
Load,31.1854725466719,22.510335662620193,27.047478985862284,66.84441761298132,69.25189962259466
