,Cost
Ideal,1890.7118979026368
Deterministic,2451.758616041758
Original,2390.0700860442093
TCL,2332.434954504856
E2E,2377.7598931340567
ECL,2320.3531208307604
E2E_ECL,2319.0340053341934
