date,year,month,hour,irr,temp,value
2021/1/1 00:15,2021,1,0,0,1.92,0
2021/1/1 00:30,2021,1,0,0,2.19,0
2021/1/1 00:45,2021,1,0,0,2.32,0
2021/1/1 01:00,2021,1,1,0,2.64,0
2021/1/1 01:15,2021,1,1,0,2.72,0
2021/1/1 01:30,2021,1,1,0,2.9,0
2021/1/1 01:45,2021,1,1,0,3.11,0
2021/1/1 02:00,2021,1,2,0,2.91,0
2021/1/1 02:15,2021,1,2,0,2.74,0
2021/1/1 02:30,2021,1,2,0,2.33,0
2021/1/1 02:45,2021,1,2,0,2.17,0
2021/1/1 03:00,2021,1,3,0,2,0
2021/1/1 03:15,2021,1,3,0,1.9,0
2021/1/1 03:30,2021,1,3,0,1.42,0
2021/1/1 03:45,2021,1,3,0,1.03,0
2021/1/1 04:00,2021,1,4,0,0.72,0
2021/1/1 04:15,2021,1,4,0,0.46,0
2021/1/1 04:30,2021,1,4,0,0.08,0
2021/1/1 04:45,2021,1,4,0,0.15,0
2021/1/1 05:00,2021,1,5,0,0,0
2021/1/1 05:15,2021,1,5,0,0,0
2021/1/1 05:30,2021,1,5,0,0,0
2021/1/1 05:45,2021,1,5,0,0,0
2021/1/1 06:00,2021,1,6,0,0,0
2021/1/1 06:15,2021,1,6,0,0,0
2021/1/1 06:30,2021,1,6,0,0,0
2021/1/1 06:45,2021,1,6,0,0,0
2021/1/1 07:00,2021,1,7,0,0,0
2021/1/1 07:15,2021,1,7,0.8,0,0
2021/1/1 07:30,2021,1,7,12.87,0,0
2021/1/1 07:45,2021,1,7,37.17,0,202.4
2021/1/1 08:00,2021,1,8,55.82,0,355.8
2021/1/1 08:15,2021,1,8,71.61,0.7,583.4
2021/1/1 08:30,2021,1,8,83.27,1.71,900.7
2021/1/1 08:45,2021,1,8,113.41,3.22,1183.2
2021/1/1 09:00,2021,1,9,162.23,5.16,1450.2
2021/1/1 09:15,2021,1,9,209.52,5.69,1703
2021/1/1 09:30,2021,1,9,254.52,5.81,1947.3
2021/1/1 09:45,2021,1,9,302.97,6.24,2171.3
2021/1/1 10:00,2021,1,10,354.22,6.51,2376.2
2021/1/1 10:15,2021,1,10,389.77,6.92,2376.2
2021/1/1 10:30,2021,1,10,479.24,7.47,2376.2
2021/1/1 10:45,2021,1,10,447.21,7.89,2376.2
2021/1/1 11:00,2021,1,11,447.21,8.66,2376.2
2021/1/1 11:15,2021,1,11,447.21,8.84,2376.2
2021/1/1 11:30,2021,1,11,447.21,9.25,2376.2
2021/1/1 11:45,2021,1,11,447.21,10.01,2376.2
2021/1/1 12:00,2021,1,12,447.21,11.1,2376.2
2021/1/1 12:15,2021,1,12,447.21,10.66,2376.2
2021/1/1 12:30,2021,1,12,447.21,10.86,2376.2
2021/1/1 12:45,2021,1,12,447.21,11.89,2282.4
2021/1/1 13:00,2021,1,13,447.21,11.4,2282.4
2021/1/1 13:15,2021,1,13,447.21,12.13,2282.4
2021/1/1 13:30,2021,1,13,447.21,12.45,2282.4
2021/1/1 13:45,2021,1,13,447.21,12.25,2282.4
2021/1/1 14:00,2021,1,14,404.2,12.64,2282.4
2021/1/1 14:15,2021,1,14,404.2,12.83,2282.4
2021/1/1 14:30,2021,1,14,404.2,13.46,2282.4
2021/1/1 14:45,2021,1,14,404.2,13.91,2282.4
2021/1/1 15:00,2021,1,15,404.2,13.72,2282.4
2021/1/1 15:15,2021,1,15,404.2,13.73,2095.2
2021/1/1 15:30,2021,1,15,404.2,14,1874.1
2021/1/1 15:45,2021,1,15,404.2,14.14,1640.1
2021/1/1 16:00,2021,1,16,404.2,14.5,1401
2021/1/1 16:15,2021,1,16,404.2,14.14,1151.9
2021/1/1 16:30,2021,1,16,404.2,14.14,869.8
2021/1/1 16:45,2021,1,16,404.2,14.2,535.9
2021/1/1 17:00,2021,1,17,295.74,14,314.9
2021/1/1 17:15,2021,1,17,202.03,13.8,171.5
2021/1/1 17:30,2021,1,17,99.9,13.24,0
2021/1/1 17:45,2021,1,17,8.57,12.53,0
2021/1/1 18:00,2021,1,18,0,11.63,0
2021/1/1 18:15,2021,1,18,0,10.55,0
2021/1/1 18:30,2021,1,18,0,9.71,0
2021/1/1 18:45,2021,1,18,0,8.99,0
2021/1/1 19:00,2021,1,19,0,8.52,0
2021/1/1 19:15,2021,1,19,0,8.3,0
2021/1/1 19:30,2021,1,19,0,7.62,0
2021/1/1 19:45,2021,1,19,0,7.06,0
2021/1/1 20:00,2021,1,20,0,6.82,0
2021/1/1 20:15,2021,1,20,0,6.95,0
2021/1/1 20:30,2021,1,20,0,6.06,0
2021/1/1 20:45,2021,1,20,0,6.69,0
2021/1/1 21:00,2021,1,21,0,7,0
2021/1/1 21:15,2021,1,21,0,7.65,0
2021/1/1 21:30,2021,1,21,0,6.71,0
2021/1/1 21:45,2021,1,21,0,6.25,0
2021/1/1 22:00,2021,1,22,0,5.39,0
2021/1/1 22:15,2021,1,22,0,5,0
2021/1/1 22:30,2021,1,22,0,6.02,0
2021/1/1 22:45,2021,1,22,0,6.04,0
2021/1/1 23:00,2021,1,23,0,4.88,0
2021/1/1 23:15,2021,1,23,0,4.32,0
2021/1/1 23:30,2021,1,23,0,6.24,0
2021/1/1 23:45,2021,1,23,0,6.38,0
2021/1/2 00:00,2021,1,0,0,5.31,0
2021/1/2 00:15,2021,1,0,0,4.23,0
2021/1/2 00:30,2021,1,0,0,3.32,0
2021/1/2 00:45,2021,1,0,0,2.75,0
2021/1/2 01:00,2021,1,1,0,2.33,0
2021/1/2 01:15,2021,1,1,0,2,0
2021/1/2 01:30,2021,1,1,0,1.62,0
2021/1/2 01:45,2021,1,1,0,1.33,0
2021/1/2 02:00,2021,1,2,0,1.22,0
2021/1/2 02:15,2021,1,2,0,1,0
2021/1/2 02:30,2021,1,2,0,0.9,0
2021/1/2 02:45,2021,1,2,0,0.7,0
2021/1/2 03:00,2021,1,3,0,0.47,0
2021/1/2 03:15,2021,1,3,0,0.4,0
2021/1/2 03:30,2021,1,3,0,0.3,0
2021/1/2 03:45,2021,1,3,0,0.11,0
2021/1/2 04:00,2021,1,4,0,0.03,0
2021/1/2 04:15,2021,1,4,0,0,0
2021/1/2 04:30,2021,1,4,0,0,0
2021/1/2 04:45,2021,1,4,0,0,0
2021/1/2 05:00,2021,1,5,0,0,0
2021/1/2 05:15,2021,1,5,0,0,0
2021/1/2 05:30,2021,1,5,0,0,0
2021/1/2 05:45,2021,1,5,0,0,0
2021/1/2 06:00,2021,1,6,0,0,0
2021/1/2 06:15,2021,1,6,0,0,0
2021/1/2 06:30,2021,1,6,0,0,0
2021/1/2 06:45,2021,1,6,0,0,0
2021/1/2 07:00,2021,1,7,0,0,0
2021/1/2 07:15,2021,1,7,0.35,0,0
2021/1/2 07:30,2021,1,7,11.52,0,0
2021/1/2 07:45,2021,1,7,38.44,0,196.5
2021/1/2 08:00,2021,1,8,58.23,0.3,350.9
2021/1/2 08:15,2021,1,8,75.1,1.48,589.3
2021/1/2 08:30,2021,1,8,83.76,2.78,928.9
2021/1/2 08:45,2021,1,8,108.89,4.1,1204.5
2021/1/2 09:00,2021,1,9,153.65,4.8,1456.8
2021/1/2 09:15,2021,1,9,200.95,5.44,1694
2021/1/2 09:30,2021,1,9,247.19,7.56,1917.2
2021/1/2 09:45,2021,1,9,292.67,7.36,2122.7
2021/1/2 10:00,2021,1,10,349.11,8.08,2331
2021/1/2 10:15,2021,1,10,391.33,8.83,2331
2021/1/2 10:30,2021,1,10,471.32,9.42,2331
2021/1/2 10:45,2021,1,10,456.83,9.89,2331
2021/1/2 11:00,2021,1,11,456.83,10.79,2331
2021/1/2 11:15,2021,1,11,456.83,11.86,2331
2021/1/2 11:30,2021,1,11,456.83,11.78,2331
2021/1/2 11:45,2021,1,11,456.83,12.48,2331
2021/1/2 12:00,2021,1,12,456.83,12.54,2331
2021/1/2 12:15,2021,1,12,456.83,13.24,2331
2021/1/2 12:30,2021,1,12,456.83,13.42,2331
2021/1/2 12:45,2021,1,12,456.83,14.58,2296.3
2021/1/2 13:00,2021,1,13,456.83,14.75,2296.3
2021/1/2 13:15,2021,1,13,456.83,15.14,2296.3
2021/1/2 13:30,2021,1,13,456.83,15.56,2296.3
2021/1/2 13:45,2021,1,13,456.83,15.73,2296.3
2021/1/2 14:00,2021,1,14,435.97,15.8,2296.3
2021/1/2 14:15,2021,1,14,435.97,16.47,2296.3
2021/1/2 14:30,2021,1,14,435.97,16.42,2296.3
2021/1/2 14:45,2021,1,14,435.97,16.56,2296.3
2021/1/2 15:00,2021,1,15,435.97,17.61,2296.3
2021/1/2 15:15,2021,1,15,435.97,17.68,2101.1
2021/1/2 15:30,2021,1,15,435.97,17.41,1894.2
2021/1/2 15:45,2021,1,15,435.97,17.44,1672.4
2021/1/2 16:00,2021,1,16,435.97,17.73,1434
2021/1/2 16:15,2021,1,16,435.97,17.96,1179.8
2021/1/2 16:30,2021,1,16,435.97,18.33,888.4
2021/1/2 16:45,2021,1,16,435.97,18.03,561.3
2021/1/2 17:00,2021,1,17,328.81,17.7,330
2021/1/2 17:15,2021,1,17,228.59,17.35,180.1
2021/1/2 17:30,2021,1,17,127.5,15.69,0
2021/1/2 17:45,2021,1,17,5.83,13.55,0
2021/1/2 18:00,2021,1,18,0,12.03,0
2021/1/2 18:15,2021,1,18,0,10.78,0
2021/1/2 18:30,2021,1,18,0,9.49,0
2021/1/2 18:45,2021,1,18,0,8.67,0
2021/1/2 19:00,2021,1,19,0,7.8,0
2021/1/2 19:15,2021,1,19,0,7.34,0
2021/1/2 19:30,2021,1,19,0,6.95,0
2021/1/2 19:45,2021,1,19,0,6.59,0
2021/1/2 20:00,2021,1,20,0,6.05,0
2021/1/2 20:15,2021,1,20,0,5.69,0
2021/1/2 20:30,2021,1,20,0,5.41,0
2021/1/2 20:45,2021,1,20,0,5.11,0
2021/1/2 21:00,2021,1,21,0,4.8,0
2021/1/2 21:15,2021,1,21,0,4.57,0
2021/1/2 21:30,2021,1,21,0,4.34,0
2021/1/2 21:45,2021,1,21,0,4.2,0
2021/1/2 22:00,2021,1,22,0,4,0
2021/1/2 22:15,2021,1,22,0,3.8,0
2021/1/2 22:30,2021,1,22,0,3.5,0
2021/1/2 22:45,2021,1,22,0,3.39,0
